country_name,farright,v2paanteli,v2papeople,v2paopresp,v2paplur,v2paminor,v2paviol,v2paimmig,v2palgbt,v2paculsup,v2parelig,v2pagender,v2pawomlab,v2pariglef,v2pawelf,v2paclient
Slovakia,0,-0.315,-0.998,0.983,1.788,1.128,1.366,-0.83,2.245,0.691,2.029,1.323,1.952,1.98,-0.68,-2.173
Romania,0,-0.714,-1.294,-0.66,1.502,1.665,-0.304,0.255,-0.55,-0.082,-0.534,-1.635,1.458,1.204,0.193,-0.782
Slovakia,0,1.607,0.847,0.008,1.798,0.563,0.532,-0.778,-1.421,0.124,0.058,1.854,0.458,0.945,0.665,-1.825
Bulgaria,0,-0.632,-1.226,0.739,1.72,0.846,1.907,0.296,0.608,0.943,1.421,0.501,0.662,1.641,0.265,-1.464
Czech Republic,0,-0.833,-2.765,1.92,2.087,2.391,2.067,1.153,1.218,2.5,1.882,-0.152,0.471,0.758,-0.252,-1.791
Czech Republic,0,-0.712,-2.895,2.114,2.079,1.352,2.052,0.704,0.625,1.797,0.927,-0.437,-0.328,1.222,-0.394,-1.212
Denmark,0,-1.87,-1.812,2.786,1.908,1.806,1.719,-0.181,0.916,0.156,0.976,0.47,0.545,1.863,0.248,-2.074
Slovenia,0,-0.9,-2.564,2.135,0.807,1.131,1.543,0.488,1.363,0.585,1.789,0.849,1.068,-0.924,1.088,-0.423
Czech Republic,0,-0.948,-1.288,2.048,1.65,1.512,2.044,0.373,-1.69,0.563,-0.665,-1.433,-1.518,-0.303,0.45,-1.192
Romania,0,-0.205,-0.767,-2.111,-0.098,-0.513,-2.75,-0.834,-2.031,-1.763,0.338,-0.857,1.489,-0.435,0.8,1.77
Poland,0,0.071,0.698,1.126,0.425,0.26,1.186,-0.256,-0.812,-0.691,-0.592,-0.849,-0.423,-0.515,0.548,0.078
Romania,0,-0.625,-0.873,-0.511,0.738,0.597,0.37,0.272,-0.561,-0.434,-0.23,0.206,2.25,1.247,-0.695,0.468
Ireland,0,1.995,1.839,1.734,1.116,0.913,-0.493,1.27,1.518,0.734,0.124,0.234,1.368,-1.935,0.458,-1.649
Poland,0,1.54,1.375,-1.1,1.387,-0.066,1.005,-1.009,-0.778,-1.08,-1.402,-0.253,-0.282,0.207,0.43,-1.577
Switzerland,0,-2.365,-0.605,1.873,1.644,-0.48,1.681,-0.161,0.202,-0.548,-0.072,-2.265,-1.99,0.349,-1.031,-2.091
United Kingdom,0,-1.455,-0.672,-0.34,1.444,0.781,1.716,-0.928,-0.305,-0.827,0.281,-0.776,-0.096,1.65,-1.433,-1.57
Lithuania,0,0.105,-0.013,0.527,1.618,1.919,0.766,-0.122,-0.611,1.195,1.846,-0.592,1.181,-1.756,2.61,-2.906
Germany,0,2.283,1.294,-0.709,0.397,-0.715,0.332,-3.614,-1.542,-0.53,0.069,-0.089,-0.714,1.21,-0.841,-2.136
Belgium,0,-0.464,-2.897,2.156,1.725,2.212,1.626,1.794,2.536,2.91,1.536,2.533,2.706,-2.005,2.088,-2.272
Iceland,0,0.082,-0.521,1.777,1.135,0.933,1.378,1.746,2.747,1.525,1.629,3.552,0.576,1.07,2.582,-0.727
Belgium,0,-2.437,-2.884,2.216,1.71,2.19,1.632,0.827,2.548,1.849,1.601,0.099,2.678,1.088,0.491,-2.29
Romania,0,0.446,-2.315,2.461,1.537,2.318,1.943,-0.313,0.527,0.572,0.348,-1.635,2.238,-0.557,0.175,-1.84
Czech Republic,0,-2.049,-2.247,1.865,1.649,1.553,2.019,0.137,-0.096,1.585,0.904,-0.595,-1.082,1.641,-0.092,-0.877
Portugal,0,-0.933,-1.896,1.351,1.925,1.553,1.794,0.745,-0.718,1.494,0.063,-0.893,1.155,0.845,-0.059,-1.049
Iceland,0,-1.303,-1.6,1.806,1.105,1.593,1.351,1.804,1.691,1.57,1.645,3.54,0.588,-0.974,0.009,0.281
Spain,0,1.007,-0.777,1.662,2.089,1.221,2.269,1.673,1.531,2.332,1.969,-0.015,1.058,-2.921,2.355,-2.611
Estonia,0,-0.091,-0.453,0.578,0.435,1.43,1.137,-1.653,0.355,1.102,1.718,0.831,0.254,0.234,0.824,-1.47
Finland,0,-0.633,0.236,1.689,1.225,2.515,1.887,1.482,0.806,2.787,1.809,2.471,1.891,-1.34,0.617,-1.902
Spain,0,2.262,2.529,-1.093,0.611,0.578,1.486,2.643,3.597,0.94,1.927,3.734,2.217,-2.541,3.232,-2.602
Iceland,0,-1.335,-2.08,1.782,1.131,1.673,1.357,2.622,1.653,1.59,1.659,3.514,0.576,0.05,0.076,-2.191
United Kingdom,0,-0.681,-0.219,-0.388,1.41,2.067,1.764,2.373,1.497,0.808,1.746,-0.804,1.448,0.102,-0.367,-2.384
Spain,0,-2.084,-2.144,1.467,2.134,1.101,2.226,-1.01,-0.785,-1.32,0.071,-0.671,-1.445,1.92,0.621,-1.212
Estonia,0,-0.286,-1.969,0.782,1.888,0.884,1.787,-2.249,0.407,-0.939,0.602,-0.853,0.69,1.894,-0.339,-1.488
Greece,0,0.577,-0.672,1.197,1.301,1.076,0.203,2.049,1.867,1.788,2.02,1.737,1.761,-2.05,2.55,-1.745
Italy,0,2.51,-0.108,-1.44,0.34,-0.15,0.098,-1.015,0.673,0.073,-0.029,0.905,-0.594,-0.093,-0.347,-1.319
