country_name,farright,v2paanteli,v2papeople,v2paopresp,v2paplur,v2paminor,v2paviol,v2paimmig,v2palgbt,v2paculsup,v2parelig,v2pagender,v2pawomlab,v2pariglef,v2pawelf,v2paclient
Austria,1,2.638,0.711,-1.81,0.481,-0.456,1.671,-4.238,-0.648,-2.882,-0.91,-0.604,-1.441,1.447,-0.5,-0.717
Austria,1,1.281,-0.357,-1.545,0.407,0.282,1.722,-1.413,0.091,-0.514,0.879,-0.626,-0.353,1.948,-1.842,-1.317
Austria,0,0.291,-2.075,1.879,1.882,2.494,1.717,1.546,2.606,2.881,1.758,2.219,2.677,1.085,-0.569,-1.784
Austria,0,-1.011,-1.656,0.979,1.842,0.798,1.661,-1.827,0.936,0.296,-0.065,1.868,-1.473,0.854,-0.698,-0.717
Austria,0,-0.608,-2.067,-0.167,1.846,1.703,1.705,-0.216,1.939,1.362,1.782,1.496,0.995,-0.182,2.384,-0.978
Austria,0,0.298,-1.67,1.016,1.863,2.536,1.7,2.366,3.423,2.815,1.738,3.949,2.709,-0.929,2.348,-2.59
Austria,0,0.291,-2.041,2.583,1.822,2.481,1.68,1.538,2.641,2.882,1.743,2.21,1.796,1.923,-0.266,-1.787
Austria,0,2.293,0.977,-1.689,-0.23,-0.466,1.686,-1.102,-0.901,-0.239,0.88,0.138,-0.882,2.507,-1.49,-0.538
Belgium,0,0.45,0.314,0.972,1.679,1,1.578,-2.104,0.989,-1.815,1.551,1.621,1.559,2.173,0.46,-2.26
Belgium,0,-2.394,-2.857,1.015,1.708,2.184,1.597,0.842,2.53,1.877,1.59,2.271,2.738,0.71,0.494,-1.264
Belgium,0,-1.659,-1.014,0.045,1.682,2.134,1.624,0.857,1.528,1.889,1.528,1.004,1.559,-2.035,1.253,-1.271
Belgium,0,-0.363,-1.711,0.986,1.71,2.178,1.595,1.76,3.43,2.88,1.575,3.267,2.726,-1.984,2.06,-2.312
Belgium,1,2.118,1.285,-1.613,0.86,-0.348,0.49,-4.104,0.405,-2.867,1.525,0.112,-0.46,2.335,0.002,-2.281
Belgium,0,-1.621,-2.876,0.983,1.663,2.159,1.592,0.804,1.532,1.892,1.603,0.105,2.671,1.068,0.528,-2.248
Belgium,0,-2.43,-1.709,2.157,1.707,2.178,1.568,-0.311,0.974,0.59,0.446,1.619,1.564,0.423,0.637,-1.248
Belgium,0,-2.436,-2.818,0.952,1.678,2.184,1.567,0.8,0.973,0.627,0.435,1.061,1.567,0.03,0.618,-2.316
Belgium,0,-0.385,-1.025,-0.454,1.721,2.162,1.622,-0.303,0.983,-0.021,1.519,1.648,1.577,0.322,0.639,-2.305
Belgium,0,-2.437,-2.884,2.216,1.71,2.19,1.632,0.827,2.548,1.849,1.601,1.622,2.678,1.088,0.491,-2.29
Belgium,0,-1.362,-0.503,0.988,1.673,0.999,1.556,-0.286,0.142,-0.368,1.54,-0.581,0.513,0.045,0.52,-2.268
Belgium,0,-0.309,-2.87,2.126,1.664,2.21,1.601,1.756,3.419,2.899,1.563,3.23,2.716,-1.984,2.086,-2.281
Belgium,0,-1.133,-1.029,0.999,0.857,2.161,1.592,0.84,1.523,1.852,1.548,0.736,1.561,-0.181,1.261,-1.283
Belgium,0,-0.475,-1.022,1.001,0.877,2.192,1.623,0.834,1.53,1.873,1.576,1.64,1.552,-0.515,1.27,-1.28
Belgium,0,2.649,1.301,-1.122,0.84,0.995,0.506,0.738,3.426,1.404,1.515,0.099,1.556,-3.938,0.954,-0.735
Belgium,0,2.095,1.305,-1.574,0.852,-0.052,0.477,-4.169,0.418,-2.887,1.575,0.112,-0.444,0.641,0.038,-1.27
Bulgaria,0,-0.948,-0.89,1.329,1.754,1.913,1.862,0.436,0.929,1.033,1.434,-0.036,0.68,1.322,0.406,-1.554
Bulgaria,0,-1.224,-1.1,1.492,1.69,1.172,1.858,-0.27,0.14,0.596,2.086,-1.101,1.687,-0.905,1.741,-1.552
Bulgaria,0,-0.715,-0.366,0.982,1.268,0.78,1.148,-0.248,-0.679,-0.004,1.464,-1.038,0.682,-0.098,0.514,-0.785
Bulgaria,0,-0.935,-0.594,1.951,1.728,1.153,1.85,0.454,0.833,0.77,1.021,-0.377,1.692,0.304,0.501,0.367
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,-0.586,1.109,0.17,1.167,0.291,1.882,-0.591,0.138,0.511,0.802,0.493,0.673,0.485,0.738,0.132
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,-1.367,-1.04,1.431,1.164,2.815,1.909,1.319,0.054,2.129,1.342,-1.075,0.68,-0.053,0.722,1.738
Bulgaria,0,0.898,-0.305,0.82,0.703,0.924,1.185,-0.61,0.15,0.016,1.482,-1.754,0.686,0.727,-0.184,-1.313
Bulgaria,0,-0.616,-1.011,1.004,1.72,0.846,1.907,0.669,0.924,0.943,1.125,0.752,0.662,1.822,0.265,-1.464
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,-0.319,0.819,0.366,0.802,0.124,0.561,-1.182,-0.761,-0.25,1.097,1.032,1.721,-1.566,1.426,0.191
Bulgaria,0,-0.166,-1.063,1.527,0.824,1.625,1.257,-0.23,0.15,1.164,2.104,-1.504,0.69,-0.042,0.538,-0.326
Bulgaria,1,2.961,2.226,-2.781,-0.201,-3.56,-1.355,-4.8,-3.548,-2.955,-0.097,-1.729,0.67,-1.641,1.084,0.611
Bulgaria,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,1,0.712,1.676,-1.508,0.253,-1.16,-0.901,-3.735,-3.053,-2.661,0.101,-1.87,0.688,0.371,0.338,-1.295
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,2.115,2.244,-1.38,0.269,0.104,-0.158,-1.365,-0.652,-0.629,0.872,-1.326,0.668,-0.585,0.464,0.772
Bulgaria,0,-0.153,-1.362,1.018,1.972,1.48,1.87,1.359,1.172,1.376,1.468,0.737,0.887,2.41,0.121,-1.752
Bulgaria,0,0.001,-0.938,0.993,1.029,0.757,1.267,-0.26,0.149,0.264,1.324,-1.463,0.674,0.163,0.952,-0.773
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,0,-1.848,-2.436,1.968,1.543,1.42,1.124,-0.18,0.617,0.342,1.151,-0.216,0.182,0.828,-0.016,-2.249
Croatia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,1,-0.255,-0.984,0.126,0.201,-0.549,-0.244,-2.496,-1.083,-1.301,-2.333,-1.65,-1.077,2.203,0.577,-0.695
Croatia,0,-1.632,-2.459,2.281,2.055,2.721,1.741,1.124,3.159,2.728,1.97,0.065,1.252,-1.155,0.554,0.32
Croatia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,0,-1.645,-2.43,1.315,1.545,2.324,1.421,1.836,2.093,1.958,1.159,0.722,1.788,-0.853,0.535,-1.008
Croatia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,0,1.295,-0.605,1.326,1.539,1.414,1.146,-0.179,1.476,1.625,1.122,-0.78,1.824,-1.752,1.592,-2.302
Croatia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,0,-1.006,-0.997,0.88,0.76,0.601,1.108,-1.384,-0.232,-1.015,-0.381,0.917,-0.149,1.008,0.305,0.934
Croatia,0,0.754,0.657,-0.546,0.828,1.024,0.404,-1.227,0.198,0.54,0.22,1.106,0.9,-0.524,1.255,-2.366
Croatia,0,1.591,0.615,1.34,0.809,0.382,1.238,-1.627,-1.063,0.068,-0.492,-0.512,0.128,1.015,-0.532,-1.932
Croatia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,0,-0.936,0.038,0.866,0.759,0.146,0.184,-1.826,-1.064,-0.135,0.254,0.922,-0.54,0.359,-1.625,0.33
Croatia,0,-1.473,-1.229,1.315,0.786,0.175,1.105,-0.913,-0.694,-0.746,-1.842,-2.216,-1.725,0.97,1.64,-2.14
Croatia,0,-0.585,-0.549,2.249,0.616,1.345,1.106,-0.908,-0.269,-0.192,-0.508,-1.663,-1.056,0.535,1.405,-1.441
Cyprus,0,-1.081,-1.088,1.102,1.846,-0.428,0.992,-0.173,0.306,0.11,-1.336,0.609,0.747,2.056,0.933,-0.524
Cyprus,0,0.015,0.128,0.794,1.822,-1.837,0.663,-1.655,-0.436,-2.006,-1.303,0.067,0.294,1.501,0.948,-0.264
Cyprus,0,1.228,0.141,0.812,1.878,-1.432,0.668,-1.035,0.268,-1.347,-1.323,0.117,0.311,-0.629,0.953,-0.263
Cyprus,0,2.381,1.411,1.129,1.833,0.546,1.779,1.357,1.814,3.15,0.215,0.802,2.877,-0.672,1.837,-0.255
Cyprus,0,-0.749,-1.071,0.699,1.858,0.84,0.817,-1.769,1.795,-1.176,1.076,0.778,2.653,1.256,-0.161,-1.598
Cyprus,0,1.42,0.191,1.143,1.84,-0.022,1.016,-0.189,0.262,0.119,-0.025,0.621,0.737,0.13,0.918,-0.61
Cyprus,0,0.989,0.152,0.788,1.843,-2.598,1.006,-2.63,0.267,-2.826,-1.34,3.013,1.814,2.062,1.825,-0.62
Czech Republic,0,-1.312,-2.765,1.889,2.087,2.391,2.067,1.153,1.218,2.522,1.882,-0.152,0.478,0.758,-0.252,-2.111
Czech Republic,0,-1.073,-0.671,2.04,1.662,1.257,2.041,-0.967,1.091,1.165,1.874,1.237,0.666,-1.312,1.324,-1.103
Czech Republic,0,-1.007,-2.469,1.515,1.683,1.881,2.052,0.047,1.232,2.321,1.864,0.341,0.395,1.345,-0.591,-1.282
Czech Republic,0,-1.137,-1.717,1.241,1.649,1.292,2.019,-1.498,-1.187,0.817,0.904,-0.283,-1.489,1.473,-0.092,-1.068
Czech Republic,0,-1.587,-1.68,2.022,1.664,1.343,2.034,-0.715,-1.296,0.512,-0.564,-0.247,-1.311,0.168,0.114,-1.745
Czech Republic,0,-1.245,-2.126,2.077,1.393,1.404,2.035,-1.043,-1.95,0.832,-0.728,-0.869,-2.483,1.208,-1.249,-2.203
Czech Republic,0,-0.656,-0.951,2.036,0.858,1.526,2.012,-0.678,0.127,0.25,1.863,-0.896,-0.475,-1.069,0.795,-1.247
Czech Republic,0,0.573,-0.637,1.309,0.374,1.438,1.182,-0.675,0.13,-0.048,1.871,-0.997,-1.258,-0.636,0.302,-1.47
Czech Republic,0,-2.088,-3.125,2.074,1.648,1.952,1.992,0.497,0.328,1.702,1.045,-0.994,-0.914,1.822,-1.559,-1.475
Czech Republic,0,-0.173,0.576,-0.215,-0.749,-0.544,0.11,-1.33,-0.471,-0.442,1.856,-0.055,0.795,-3.67,2.197,-1.136
Czech Republic,0,1.979,1.262,0.687,0.557,0.726,1.975,-0.559,-0.309,1.071,1.865,1.897,0.266,0.189,0.113,-0.703
Czech Republic,0,0.072,-1.107,1.511,2.102,1.977,2.051,0.628,0.391,1.846,1.831,0.555,-0.103,0.063,0.926,-2.736
Czech Republic,0,0.333,-1.785,1.541,1.016,2.8,2.038,2.189,2.62,2.773,1.841,2.65,2.889,-1.139,0.498,-2.725
Czech Republic,1,3.711,1.452,-0.765,-0.443,-1.176,-0.707,-3.733,-2.036,-3.128,0.906,-2.025,-1.548,-0.367,-0.494,-1.104
