country_name,party_id,farright,v2paanteli,v2papeople,v2paopresp,v2paplur,v2paminor,v2paviol,v2paimmig,v2palgbt,v2paculsup,v2parelig,v2pagender,v2pawomlab,v2pariglef,v2pawelf,v2paclient
Austria,463,1,3.254,0.711,-2.901,0.152,-0.271,1.671,-4.238,-0.387,-2.882,0.36,-0.574,-1.441,1.048,-0.5,-1.299
Austria,463,1,3.254,0.711,-2.901,0.152,-0.271,1.671,-4.238,-0.387,-2.882,0.36,-0.574,-1.441,1.048,-0.5,-1.299
Austria,463,1,3.254,0.711,-2.901,0.152,-0.271,1.671,-4.238,-0.387,-2.882,0.018,-0.574,-1.441,1.048,-0.5,-1.299
Austria,463,1,3.254,0.711,-2.901,0.467,-0.271,1.671,-4.238,-0.387,-2.882,-0.272,-0.574,-1.441,1.048,-0.5,-1.299
Austria,463,1,1.722,0.711,-1.317,0.086,-0.271,1.671,-4.238,-0.387,-2.882,-0.272,-0.035,-1.441,1.048,-0.5,-0.73
Austria,463,1,1.722,0.711,-1.317,0.086,-0.271,1.671,-4.238,-0.387,-2.882,-0.272,-0.035,-1.441,1.048,-0.5,-0.73
Austria,463,1,3.315,0.711,-1.317,0.481,-0.271,1.671,-4.238,-0.387,-2.882,-0.272,-0.604,-1.441,1.048,-0.5,-0.948
Austria,463,1,3.315,0.711,-1.81,0.481,-0.271,1.671,-4.238,-0.387,-2.882,-0.91,-0.604,-1.441,1.447,-0.5,-0.948
Austria,463,1,3.315,0.711,-1.81,0.481,-0.456,1.671,-4.238,-0.648,-2.882,-0.91,-0.604,-1.441,1.447,-0.5,-0.717
Austria,463,1,2.638,0.711,-1.81,0.481,-0.456,1.671,-4.238,-0.648,-2.882,-0.91,-0.604,-1.441,1.447,-0.5,-0.717
Austria,599,1,1.281,-0.357,-1.545,0.407,0.282,1.722,-1.413,0.091,-0.514,0.879,-0.626,-0.353,1.948,-1.842,-1.317
Austria,605,0,0.291,-2.075,1.879,1.882,2.494,1.717,1.546,2.606,2.881,1.758,2.219,2.677,1.085,-0.569,-1.784
Austria,605,0,0.291,-2.075,1.879,1.882,2.494,1.717,1.546,2.606,2.881,1.758,2.219,2.677,1.085,-0.569,-1.784
Austria,1329,0,-1.811,-2.062,1.058,1.842,1.683,1.661,0.967,-0.323,0.904,-0.031,0.553,-1.473,0.091,0.052,-0.979
Austria,1329,0,-1.811,-2.062,1.058,1.842,1.683,1.661,0.967,-0.323,0.904,-0.031,0.553,-1.473,0.091,0.052,-0.979
Austria,1329,0,-1.811,-2.062,1.058,1.842,1.683,1.661,0.967,-0.064,0.904,-0.031,0.553,-1.473,0.091,0.052,-0.979
Austria,1329,0,-1.811,-2.062,1.058,1.842,1.683,1.661,0.967,-0.064,0.904,-0.031,1.002,-1.473,0.091,0.052,-0.979
Austria,1329,0,-1.811,-2.062,1.058,1.842,1.683,1.661,0.967,-0.064,0.904,-0.031,1.002,-1.473,0.473,0.052,-0.717
Austria,1329,0,-1.811,-2.062,1.058,1.842,1.683,1.661,0.967,-0.064,0.904,-0.031,1.002,-1.473,0.473,0.052,-0.717
Austria,1329,0,-1.811,-2.062,1.058,1.842,1.683,1.661,0.967,-0.064,0.904,-0.031,1.002,-1.473,0.473,0.052,-0.717
Austria,1329,0,-1.811,-2.062,1.058,1.842,1.683,1.661,0.967,-0.064,0.654,-0.031,1.002,-1.473,0.473,0.052,-0.717
Austria,1329,0,-1.011,-1.656,0.979,1.842,0.798,1.661,-1.827,0.936,0.296,-0.065,1.272,-1.473,0.854,-0.698,-0.717
Austria,1329,0,-1.011,-1.656,0.979,1.842,0.798,1.661,-1.827,0.936,0.296,-0.065,1.868,-1.473,0.854,-0.698,-0.717
Austria,1384,0,-1.826,-2.095,0.457,1.846,1.703,1.705,0.504,0.968,1.362,1.782,1.001,0.995,-0.301,2.384,-0.978
